STATE,B20004_006E,B20004_003E,B20004_001E,STATE_NAME
1,3.0726,1.6675,1.5216,Alabama
2,1.1355,1.1784,1.9634,Alaska
4,2.9171,2.6883,1.2925,Arizona
5,2.5984,0.6696,0.2454,Arkansas
6,2.4315,3.3776,1.4234,California
8,1.3871,2.3141,1.5707,Colorado
9,1.3959,1.9301,1.178,Connecticut
10,1.2177,2.1073,3.7467,Delaware
11,0.9888,8.6197,0.9162,District of Columbia
12,2.869,2.5373,3.6976,Florida
13,2.0421,1.999,1.2435,Georgia
15,2.4492,4.6775,18.1774,Hawaii
16,1.7399,0.9913,0.0,Idaho
17,1.9232,2.5209,0.5236,Illinois
18,2.7451,1.1521,1.1944,Indiana
19,2.1913,0.5974,0.589,Iowa
20,1.9371,1.8316,2.3397,Kansas
21,2.1319,1.2079,1.6198,Kentucky
22,3.7339,2.9444,3.8449,Louisiana
23,1.5186,1.2834,3.2068,Maine
24,1.1064,2.4979,2.3233,Maryland
25,1.2493,3.1971,2.2088,Massachusetts
26,2.7375,2.7999,4.5321,Michigan
27,0.6904,1.2999,0.4908,Minnesota
28,2.9512,1.7299,1.9634,Mississippi
29,1.707,1.4607,0.8181,Missouri
30,1.8663,0.8469,0.6054,Montana
31,1.1405,1.2342,1.538,Nebraska
32,3.5518,1.3852,2.1433,Nevada
33,0.7283,0.8895,1.6688,New Hampshire
34,1.8056,1.8119,1.1453,New Jersey
35,2.5087,2.6325,0.6545,New Mexico
36,1.5844,3.1905,3.5668,New York
37,2.2583,2.0483,2.0124,North Carolina
38,1.4807,0.4792,0.0,North Dakota
39,2.6465,1.4804,0.949,Ohio
40,2.4303,1.034,0.9326,Oklahoma
41,1.6678,2.0483,1.9634,Oregon
42,1.6577,1.7134,1.4725,Pennsylvania
44,1.3479,1.8841,2.6832,Rhode Island
45,2.5099,2.0844,2.0779,South Carolina
46,1.3669,0.1477,0.0,South Dakota
47,2.1875,1.9531,2.2906,Tennessee
48,3.3432,2.3076,1.4889,Texas
49,1.2252,1.9531,0.8344,Utah
50,0.55,0.535,0.8835,Vermont
51,1.3719,3.1315,3.0923,Virginia
53,1.3188,2.0712,1.6852,Washington
54,3.0827,0.883,0.0,West Virginia
55,1.4895,1.2342,2.4378,Wisconsin
56,2.0117,1.7397,1.2435,Wyoming
