STATE,B23013_001E,B23020_001E,STATE_NAME
1,0.9998,1.071,Alabama
2,1.1762,1.0891,Alaska
4,1.0194,1.307,Arizona
5,0.2941,0.5264,Arkansas
6,1.3135,1.4703,California
8,1.2547,1.5974,Colorado
9,1.1762,1.307,Connecticut
10,3.5875,3.3218,Delaware
11,1.0978,1.0165,District of Columbia
12,3.7836,3.6849,Florida
13,1.3919,1.3796,Georgia
15,20.1137,19.6587,Hawaii
16,0.0,0.6172,Idaho
17,0.5097,0.6898,Illinois
18,0.9018,0.9621,Indiana
19,0.4705,0.4357,Iowa
20,2.5485,2.5958,Kansas
21,1.4115,1.307,Kentucky
22,3.9208,4.1024,Louisiana
23,3.8424,3.5578,Maine
24,2.5093,2.3235,Maryland
25,1.98,2.0875,Massachusetts
26,4.4697,4.3928,Michigan
27,0.5881,0.5446,Minnesota
28,1.7644,2.1783,Mississippi
29,0.7057,0.7805,Missouri
30,0.7253,0.6716,Montana
31,0.3725,0.3449,Nebraska
32,2.5681,2.3779,Nevada
33,1.9996,1.8515,New Hampshire
34,0.9802,1.0891,New Jersey
35,0.3921,0.363,New Mexico
36,3.1955,3.3218,New York
37,2.3133,2.1419,North Carolina
38,0.0,0.0,North Dakota
39,0.8038,0.7987,Ohio
40,0.196,0.3449,Oklahoma
41,2.1172,2.1783,Oregon
42,1.3919,1.6337,Pennsylvania
44,3.2151,2.9769,Rhode Island
45,2.1368,1.9786,South Carolina
46,0.0,0.0,South Dakota
47,2.0976,2.0693,Tennessee
48,1.5291,1.5429,Texas
49,0.9998,0.9258,Utah
50,1.0586,0.9802,Vermont
51,3.1955,2.9588,Virginia
53,1.882,1.7426,Washington
54,0.0,0.0,West Virginia
55,2.5093,2.3235,Wisconsin
56,1.4899,1.3796,Wyoming
