STATE,B25058_001E,B25071_001E,B25077_001E,STATE_NAME
1,2.2749,1.8283,1.0129,Alabama
2,1.8686,2.1616,3.3418,Alaska
4,2.0874,1.8283,2.0418,Arizona
5,0.9999,0.5224,0.5822,Arkansas
6,1.2749,1.2969,2.2731,California
8,2.3999,2.6659,1.659,Colorado
9,2.7748,2.702,1.5313,Connecticut
10,3.4373,3.7197,1.8264,Delaware
11,1.0499,1.5131,2.2252,District of Columbia
12,2.4998,2.72,2.4246,Florida
13,1.2374,1.1438,1.9062,Georgia
15,7.6558,10.7809,14.3165,Hawaii
16,1.2562,0.9097,0.5344,Idaho
17,1.2812,1.1799,0.973,Illinois
18,1.3624,1.315,1.1086,Indiana
19,0.6062,0.5494,0.7736,Iowa
20,2.1936,2.3417,1.7626,Kansas
21,2.0186,1.6932,1.4277,Kentucky
22,2.9373,2.747,2.7118,Louisiana
23,2.0936,2.2607,1.7786,Maine
24,3.556,2.9451,2.2651,Maryland
25,3.1311,2.684,2.3768,Massachusetts
26,3.8435,4.6114,3.2621,Michigan
27,1.6374,1.5491,0.5344,Minnesota
28,2.0686,1.9004,1.8025,Mississippi
29,1.0749,1.2249,1.0847,Missouri
30,0.9249,0.9997,1.4755,Montana
31,1.2937,1.351,1.1964,Nebraska
32,1.2749,1.5762,2.3209,Nevada
33,2.3311,1.5221,0.8135,New Hampshire
34,3.4498,3.4946,1.7467,New Jersey
35,1.8811,1.0808,1.2761,New Mexico
36,3.1123,3.7017,5.1284,New York
37,1.9061,2.0085,1.8504,North Carolina
38,0.6125,0.0,1.1645,North Dakota
39,1.1874,1.2519,1.3798,Ohio
40,0.8374,1.0358,1.6749,Oklahoma
41,1.2749,1.1889,1.2442,Oregon
42,1.8624,1.9634,1.4117,Pennsylvania
44,1.7936,1.8463,1.962,Rhode Island
45,2.3811,2.2877,1.8823,South Carolina
46,0.8437,0.8106,0.7178,South Dakota
47,1.8811,1.9814,2.0258,Tennessee
48,1.7686,1.7112,2.5283,Texas
49,2.5498,1.8373,1.7626,Utah
50,0.3375,0.4864,0.4307,Vermont
51,2.5873,2.738,2.8872,Virginia
53,1.3312,1.2969,1.7467,Washington
54,1.1624,0.5584,0.327,West Virginia
55,1.3749,1.7923,1.6988,Wisconsin
56,1.4187,0.6845,1.8105,Wyoming
