STATE,COUNTY,B19083_001E,B22008_003E,B22008_002E,STATE_NAME
1,1,0.0,0.0,0.0113,Alabama
1,3,0.0811,0.0739,0.0465,Alabama
1,5,0.0,0.0,0.0,Alabama
1,7,0.0,0.0,0.0338,Alabama
1,9,0.0,0.0,0.0451,Alabama
1,11,0.0,0.0,0.0,Alabama
1,13,0.0,0.0,0.015,Alabama
1,15,0.2515,0.2292,0.0175,Alabama
1,17,0.0,0.0,0.0601,Alabama
1,19,0.0,0.0,0.0,Alabama
1,21,0.0,0.0,0.0301,Alabama
1,23,0.0,0.0,0.0,Alabama
1,25,0.0,0.0,0.0451,Alabama
1,27,0.0,0.0,0.1015,Alabama
1,29,0.0,0.0,0.0,Alabama
1,31,0.0,0.0,0.0097,Alabama
1,33,0.0,0.0,0.0193,Alabama
1,35,0.0,0.0,0.1082,Alabama
1,37,0.0,0.0,0.0902,Alabama
1,39,0.0,0.0,0.0483,Alabama
1,41,0.0,0.0,0.0,Alabama
1,43,0.0,0.0,0.0301,Alabama
1,45,0.0,0.0,0.0483,Alabama
1,47,0.0,0.0,0.0271,Alabama
1,49,0.0,0.0,0.0,Alabama
1,51,0.0,0.0,0.009,Alabama
1,53,0.0,0.0,0.0451,Alabama
1,55,0.0,0.0,0.0406,Alabama
1,57,0.0,0.0,0.0,Alabama
1,59,0.0,0.0,0.015,Alabama
1,61,0.0,0.0,0.0226,Alabama
1,63,0.0,0.0,0.0,Alabama
1,65,0.0,0.0,0.0226,Alabama
1,67,0.0,0.0,0.0226,Alabama
1,69,0.0,0.0,0.0,Alabama
1,71,0.0,0.0,0.0,Alabama
1,73,0.0,0.0144,0.0398,Alabama
1,75,0.0,0.0,0.0,Alabama
1,77,0.0,0.0,0.0185,Alabama
1,79,0.0,0.0,0.0301,Alabama
1,81,0.0,0.0,0.0601,Alabama
1,83,0.0,0.0,0.0338,Alabama
1,85,0.0,0.0,0.0,Alabama
1,87,0.0,0.1973,0.0451,Alabama
1,89,0.0,0.0,0.05,Alabama
1,91,0.0,0.0,0.0451,Alabama
1,93,0.0,0.0,0.0,Alabama
1,95,0.0,0.0,0.015,Alabama
1,97,0.0452,0.0412,0.0341,Alabama
1,99,0.0,0.0,0.058,Alabama
1,101,0.0,0.0,0.0416,Alabama
1,103,0.0,0.0,0.0401,Alabama
1,105,0.0,0.0,0.0,Alabama
1,107,0.0,0.0,0.0,Alabama
1,109,0.0,0.0,0.0338,Alabama
1,111,0.0,0.0,0.0451,Alabama
1,113,0.0,0.0,0.0104,Alabama
1,115,0.0,0.0,0.0208,Alabama
1,117,0.054,0.0493,0.0592,Alabama
1,119,0.0,0.0,0.0,Alabama
1,121,0.0,0.0,0.0308,Alabama
1,123,0.0,0.0,0.0135,Alabama
1,125,0.0,0.0,0.0432,Alabama
1,127,0.0,0.0,0.0226,Alabama
1,129,0.0,0.0,0.0271,Alabama
1,131,0.0,0.0,0.0,Alabama
1,133,0.0,0.0,0.0,Alabama
2,13,0.0,0.0,0.0,Alaska
2,16,0.0,0.0,0.0676,Alaska
2,20,0.0,0.0,0.059,Alaska
2,50,0.0,0.0,0.0,Alaska
2,60,0.0,0.0,0.0,Alaska
2,68,0.0,0.0,0.1353,Alaska
2,70,0.0,0.0,0.0,Alaska
2,90,0.0,0.0,0.0854,Alaska
2,100,0.0,0.0,0.0,Alaska
2,105,0.0,0.0,0.0,Alaska
2,110,0.0,0.0,0.0676,Alaska
2,122,0.0,0.0,0.0416,Alaska
2,130,0.0,0.0,0.0,Alaska
2,150,0.0,0.0,0.0271,Alaska
2,158,0.0,0.0,0.0,Alaska
2,164,0.0,0.0,0.0,Alaska
2,170,0.0,0.0,0.0226,Alaska
2,180,0.0,0.0,0.0,Alaska
2,185,0.8661,0.7893,0.0902,Alaska
2,188,0.0,0.0,0.0,Alaska
2,195,0.0,0.0,0.0,Alaska
2,198,0.6496,0.592,0.0338,Alaska
2,220,0.0,0.0,0.0,Alaska
2,230,0.0,0.0,0.0,Alaska
2,240,0.0,0.0,0.0676,Alaska
2,261,0.0,0.0,0.0902,Alaska
2,275,0.0,0.0,0.0,Alaska
2,282,0.0,0.0,0.0,Alaska
2,290,0.0,0.0,0.0,Alaska
4,1,0.0,0.0,0.0085,Arizona
4,3,0.0,0.0,0.0254,Arizona
4,5,0.0,0.0,0.0338,Arizona
4,7,0.0,0.0,0.0254,Arizona
4,9,0.0,0.0,0.0601,Arizona
4,11,0.0,0.0,0.0,Arizona
4,12,0.2887,0.2631,0.0601,Arizona
4,13,0.0226,0.0362,0.0567,Arizona
4,15,0.0,0.0,0.0346,Arizona
4,17,0.0,0.0,0.0087,Arizona
4,19,0.0107,0.0097,0.046,Arizona
4,21,0.0,0.0,0.0433,Arizona
4,23,0.0,0.0,0.0135,Arizona
4,25,0.0,0.0,0.0354,Arizona
4,27,0.1416,0.1291,0.0443,Arizona
5,1,0.0,0.0,0.0846,Arkansas
5,3,0.0,0.0,0.0193,Arkansas
5,5,0.0,0.0,0.0301,Arkansas
5,7,0.0,0.0,0.0718,Arkansas
5,9,0.0,0.0,0.0387,Arkansas
5,11,0.0,0.0,0.0541,Arkansas
5,13,0.0,0.0,0.0,Arkansas
5,15,0.0,0.0,0.0,Arkansas
5,17,0.0,0.0,0.0338,Arkansas
5,19,0.0,0.0,0.0,Arkansas
5,21,0.0,0.0,0.0226,Arkansas
5,23,0.0,0.0,0.0387,Arkansas
5,25,0.0,0.0,0.0676,Arkansas
5,27,0.0,0.0,0.0,Arkansas
5,29,0.0,0.0,0.0226,Arkansas
5,31,0.0,0.0,0.008,Arkansas
5,33,0.0,0.0,0.0123,Arkansas
5,35,0.0,0.0,0.0271,Arkansas
5,37,0.0,0.0,0.0,Arkansas
5,39,0.0,0.0,0.0902,Arkansas
5,41,0.0,0.0,0.0541,Arkansas
5,43,0.0,0.0,0.0271,Arkansas
5,45,0.0,0.0,0.0379,Arkansas
5,47,0.0,0.0,0.0,Arkansas
5,49,0.0,0.0,0.0,Arkansas
5,51,0.0,0.0,0.0406,Arkansas
5,53,0.0,0.0,0.0338,Arkansas
5,55,0.0,0.0,0.0301,Arkansas
5,57,0.0,0.0,0.0541,Arkansas
5,59,0.0,0.0,0.0193,Arkansas
5,61,0.0,0.0,0.0,Arkansas
5,63,0.0,0.0,0.0338,Arkansas
5,65,0.0,0.0,0.0,Arkansas
5,67,0.0,0.0,0.0271,Arkansas
5,69,0.1084,0.0987,0.0451,Arkansas
5,71,0.0,0.0,0.0,Arkansas
5,73,0.0,0.0,0.0,Arkansas
5,75,0.0,0.0,0.0226,Arkansas
5,77,0.0,0.0,0.0338,Arkansas
5,79,0.0,0.0,0.0676,Arkansas
5,81,0.0,0.0,0.0,Arkansas
5,83,0.0,0.0,0.0,Arkansas
5,85,0.0,0.0,0.0592,Arkansas
5,87,0.0,0.0,0.0338,Arkansas
