STATE,COUNTY,STATE_NAME,mean_missingness,tract_count
56,45,Wyoming,1.0,2
29,59,Missouri,1.0,3
48,501,Texas,1.0,2
31,91,Nebraska,1.0,1
31,115,Nebraska,1.0,1
31,121,Nebraska,1.0,3
32,11,Nevada,1.0,1
32,15,Nevada,1.0,1
48,447,Texas,1.0,1
48,443,Texas,1.0,1
48,435,Texas,1.0,1
48,433,Texas,1.0,1
48,431,Texas,1.0,1
48,413,Texas,1.0,1
35,3,New Mexico,1.0,1
35,21,New Mexico,1.0,1
48,393,Texas,1.0,1
48,383,Texas,1.0,1
48,359,Texas,1.0,1
48,345,Texas,1.0,1
48,335,Texas,1.0,2
31,77,Nebraska,1.0,1
31,75,Nebraska,1.0,1
49,9,Utah,1.0,1
30,69,Montana,1.0,1
30,25,Montana,1.0,1
30,33,Montana,1.0,1
30,37,Montana,1.0,1
30,39,Montana,1.0,1
30,51,Montana,1.0,1
30,55,Montana,1.0,1
51,45,Virginia,1.0,1
30,59,Montana,1.0,1
30,79,Montana,1.0,1
31,15,Nebraska,1.0,1
30,97,Montana,1.0,1
30,103,Montana,1.0,1
30,107,Montana,1.0,1
30,109,Montana,1.0,1
31,5,Nebraska,1.0,1
31,9,Nebraska,1.0,1
31,11,Nebraska,1.0,2
49,25,Utah,1.0,2
38,7,North Dakota,1.0,1
38,11,North Dakota,1.0,2
38,23,North Dakota,1.0,1
46,17,South Dakota,1.0,1
48,169,Texas,1.0,1
48,155,Texas,1.0,1
40,129,Oklahoma,1.0,1
48,137,Texas,1.0,1
48,109,Texas,1.0,1
48,105,Texas,1.0,1
13,165,Georgia,1.0,2
48,87,Texas,1.0,1
48,45,Texas,1.0,1
40,55,Oklahoma,1.0,2
48,33,Texas,1.0,1
46,69,South Dakota,1.0,1
48,17,Texas,1.0,1
48,11,Texas,1.0,1
13,101,Georgia,1.0,2
46,75,South Dakota,1.0,1
46,95,South Dakota,1.0,1
13,61,Georgia,1.0,1
48,173,Texas,1.0,1
48,191,Texas,1.0,1
8,33,Colorado,1.0,1
38,83,North Dakota,1.0,1
48,311,Texas,1.0,1
48,301,Texas,1.0,1
38,53,North Dakota,1.0,4
38,65,North Dakota,1.0,1
16,81,Idaho,1.0,1
48,283,Texas,1.0,1
38,81,North Dakota,1.0,2
16,41,Idaho,1.0,2
48,269,Texas,1.0,1
48,197,Texas,1.0,1
16,37,Idaho,1.0,1
16,25,Idaho,1.0,1
38,91,North Dakota,1.0,1
8,111,Colorado,1.0,1
48,243,Texas,1.0,1
48,235,Texas,1.0,1
48,229,Texas,1.0,1
13,309,Georgia,1.0,2
30,19,Montana,1.0,1
31,171,Nebraska,1.0,1
2,158,Alaska,1.0,1
56,19,Wyoming,1.0,2
54,13,West Virginia,1.0,2
56,39,Wyoming,1.0,4
56,11,Wyoming,1.0,2
28,55,Mississippi,1.0,1
20,33,Kansas,1.0,1
20,101,Kansas,1.0,1
53,23,Washington,1.0,1
28,15,Mississippi,1.0,2
20,195,Kansas,1.0,1
20,199,Kansas,1.0,1
20,135,Kansas,1.0,2
56,27,Wyoming,1.0,1
20,203,Kansas,1.0,1
20,63,Kansas,1.0,2
2,68,Alaska,1.0,1
20,109,Kansas,1.0,1
37,185,North Carolina,0.83,6
56,43,Wyoming,0.83,3
37,117,North Carolina,0.83,6
1,35,Alabama,0.8,5
22,37,Louisiana,0.8,5
1,23,Alabama,0.75,4
51,51,Virginia,0.75,4
35,51,New Mexico,0.75,4
13,193,Georgia,0.75,4
48,415,Texas,0.75,4
48,425,Texas,0.75,2
20,5,Kansas,0.75,4
56,31,Wyoming,0.75,2
20,67,Kansas,0.75,2
31,161,Nebraska,0.75,2
49,1,Utah,0.75,2
48,377,Texas,0.75,2
12,7,Florida,0.75,4
48,507,Texas,0.75,4
46,71,South Dakota,0.75,2
38,97,North Dakota,0.75,4
30,27,Montana,0.75,2
13,7,Georgia,0.75,2
28,125,Mississippi,0.75,2
46,101,South Dakota,0.75,2
8,97,Colorado,0.75,4
18,131,Indiana,0.75,4
38,3,North Dakota,0.75,4
20,179,Kansas,0.75,2
56,35,Wyoming,0.75,2
8,7,Colorado,0.75,4
37,95,North Carolina,0.7,3
38,67,North Dakota,0.7,5
48,53,Texas,0.69,8
1,63,Alabama,0.67,3
21,41,Kentucky,0.67,3
12,47,Florida,0.67,3
42,53,Pennsylvania,0.67,3
48,107,Texas,0.67,3
8,65,Colorado,0.67,2
48,475,Texas,0.67,3
37,103,North Carolina,0.67,3
16,85,Idaho,0.67,3
56,3,Wyoming,0.67,3
48,445,Texas,0.67,3
38,61,North Dakota,0.67,3
6,51,California,0.67,3
38,21,North Dakota,0.67,3
48,323,Texas,0.67,9
48,403,Texas,0.67,3
40,93,Oklahoma,0.67,3
48,165,Texas,0.67,3
26,83,Michigan,0.67,3
48,193,Texas,0.67,3
28,119,Mississippi,0.67,3
48,505,Texas,0.67,3
29,41,Missouri,0.67,3
48,59,Texas,0.67,3
46,27,South Dakota,0.67,3
21,191,Kentucky,0.67,3
4,11,Arizona,0.67,3
30,95,Montana,0.67,3
21,131,Kentucky,0.67,3
48,77,Texas,0.67,3
29,155,Missouri,0.67,6
51,105,Virginia,0.67,6
2,261,Alaska,0.67,3
5,105,Arkansas,0.67,3
46,102,South Dakota,0.67,3
13,79,Georgia,0.67,3
13,141,Georgia,0.67,2
30,57,Montana,0.67,3
5,123,Arkansas,0.67,6
51,127,Virginia,0.67,3
5,137,Arkansas,0.67,3
5,129,Arkansas,0.67,3
15,5,Hawaii,0.64,2
22,39,Louisiana,0.62,8
13,315,Georgia,0.62,4
5,77,Arkansas,0.62,4
12,67,Florida,0.62,2
35,28,New Mexico,0.62,4
48,399,Texas,0.62,4
28,73,Mississippi,0.62,8
21,231,Kentucky,0.6,5
56,29,Wyoming,0.6,5
40,63,Oklahoma,0.6,5
13,147,Georgia,0.6,5
37,107,North Carolina,0.6,15
8,67,Colorado,0.6,10
8,117,Colorado,0.6,5
20,59,Kansas,0.6,5
51,600,Virginia,0.6,5
27,55,Minnesota,0.6,5
